train_lr,l2_reg,gcn_dropout,mean_init,gcn_agg_units,gcn_out_units,std_init,train_grad_clip,gcn_agg_accum,bayesian,kl_coefficient,prior_mu,prior_sigma,logsigma_constant_init,best_iter,best_valid_rmse,best_test_rmse
0.009,2e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,897,0.9886799788246534,0.9851919447552907
0.015,1e-09,0.8,0.1,400,30,0.0025,3.0,sum,True,8e-15,0.0,0.001,-8.5,1241,0.9889479186594056,0.9851898574844455
0.01,1e-09,0.7,0.1,500,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,696,0.9893448123917143,0.9851862879385496
0.009,3e-08,0.7,0.1,600,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,718,0.9889480693362994,0.9851730684059384
0.009,4e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,455,0.9888897858007224,0.9851610889966376
0.01,3e-08,0.7,0.1,600,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,489,0.9891173252621236,0.9851409112279195
0.01,5e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,7e-14,0.0,0.001,-8.5,476,0.9891775236093665,0.9851374322605078
0.015,5e-08,0.7,0.1,400,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,469,0.9897239618598076,0.9851374322605078
0.009,5e-09,0.7,0.1,400,30,0.001,3.0,sum,True,6e-14,0.0,0.001,-8.5,991,0.9888455736095061,0.9851311398360693
0.015,2e-08,0.7,0.1,400,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,583,0.9889527704438564,0.9851248776237684
0.015,1e-09,0.7,0.1,600,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,704,0.9890150278760607,0.9851146220306882
0.009,3e-08,0.7,0.1,600,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,675,0.9890908404443648,0.9850937777381479
0.01,1e-09,0.8,0.1,400,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,1177,0.9886813955703938,0.9850841268930954
0.009,1e-08,0.7,0.1,400,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,1205,0.9890433528065258,0.9850796796066551
0.01,1e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,618,0.9888580810079345,0.9850595304246996
0.015,5e-08,0.7,0.1,400,30,0.0025,3.0,sum,True,5e-14,0.0,0.001,-8.5,613,0.989242960299648,0.985043344221753
0.009,2e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,5e-14,0.0,0.001,-8.5,714,0.9889357438905123,0.98499463273537
0.01,1e-09,0.7,0.1,600,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,752,0.9889084706588165,0.9849936947887019
0.01,5e-09,0.8,0.1,400,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,1294,0.9884675042672572,0.9849749659247095
0.015,5e-09,0.7,0.1,500,30,0.001,3.0,sum,True,1e-14,0.0,0.001,-8.5,577,0.9890918347677417,0.9849617435558681
0.009,4e-08,0.7,0.1,500,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,516,0.9886444690874326,0.9849461306446722
0.01,1e-09,0.8,0.1,400,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,1377,0.9885981357043679,0.9849264326071074
0.01,5e-09,0.7,0.1,600,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,805,0.9885414595179982,0.9848836765248449
0.01,1e-09,0.7,0.1,400,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,730,0.9888755609623814,0.9848792283332577
0.009,5e-09,0.8,0.1,400,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,1359,0.9880962274018991,0.9848475457344824
0.009,5e-09,0.8,0.1,500,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,978,0.9883192454637213,0.9848094768512872
0.01,2e-08,0.7,0.1,500,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,531,0.9893276720902531,0.984688300274978
0.015,1e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,814,0.9890855373694731,0.9846868777840603
0.015,4e-08,0.8,0.1,400,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,981,0.9884555346338875,0.9845689249511337
0.01,5e-09,0.7,0.1,600,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,1100,0.9893473427449824,0.984435034238212
0.015,4e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,558,0.9889743169008958,0.9843538070092771
0.01,2e-08,0.8,0.1,600,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,1176,0.9880938446518773,0.9843440278039963
0.01,3e-08,0.8,0.1,600,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,1008,0.98810832203176,0.9842267606015291
0.01,5e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,803,0.9892869137308641,0.9841568417479977
0.015,2e-08,0.7,0.1,400,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,885,0.9887619055936654,0.9841054214221994
0.015,4e-08,0.7,0.1,500,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,619,0.9892397066438322,0.9840969419584777
0.01,3e-08,0.8,0.1,600,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,1021,0.9880747221208225,0.9840818301616409
